id,Period,Data_value,Series_title_2
165,2013.04,42.5,Credit card usage as a proportion of total ECT value
166,2013.05,41.8,Credit card usage as a proportion of total ECT value
167,2013.06,41.8,Credit card usage as a proportion of total ECT value
168,2013.07,42.4,Credit card usage as a proportion of total ECT value
169,2013.08,41.9,Credit card usage as a proportion of total ECT value
170,2013.09,42.5,Credit card usage as a proportion of total ECT value
171,2013.10,42.9,Credit card usage as a proportion of total ECT value
172,2013.11,43.9,Credit card usage as a proportion of total ECT value
173,2013.12,44.3,Credit card usage as a proportion of total ECT value
174,2014.01,44,Credit card usage as a proportion of total ECT value
175,2014.02,44.6,Credit card usage as a proportion of total ECT value
176,2014.03,44,Credit card usage as a proportion of total ECT value
177,2014.04,42.9,Credit card usage as a proportion of total ECT value
178,2014.05,42.2,Credit card usage as a proportion of total ECT value
179,2014.06,42.6,Credit card usage as a proportion of total ECT value
180,2014.07,42.7,Credit card usage as a proportion of total ECT value
181,2014.08,42.3,Credit card usage as a proportion of total ECT value
182,2014.09,43.3,Credit card usage as a proportion of total ECT value
183,2014.10,43.6,Credit card usage as a proportion of total ECT value
184,2014.11,44.7,Credit card usage as a proportion of total ECT value
185,2014.12,44.9,Credit card usage as a proportion of total ECT value
186,2015.01,44.3,Credit card usage as a proportion of total ECT value
187,2015.02,45.4,Credit card usage as a proportion of total ECT value
188,2015.03,45.1,Credit card usage as a proportion of total ECT value
189,2015.04,43.5,Credit card usage as a proportion of total ECT value
190,2015.05,43.5,Credit card usage as a proportion of total ECT value
191,2015.06,44.2,Credit card usage as a proportion of total ECT value
192,2015.07,44.3,Credit card usage as a proportion of total ECT value
193,2015.08,44.2,Credit card usage as a proportion of total ECT value
194,2015.09,44.8,Credit card usage as a proportion of total ECT value
195,2015.10,45.1,Credit card usage as a proportion of total ECT value
196,2015.11,46.6,Credit card usage as a proportion of total ECT value
197,2015.12,46.5,Credit card usage as a proportion of total ECT value
198,2016.01,46.5,Credit card usage as a proportion of total ECT value
199,2016.02,47.2,Credit card usage as a proportion of total ECT value
200,2016.03,46.8,Credit card usage as a proportion of total ECT value
201,2016.04,45.7,Credit card usage as a proportion of total ECT value
202,2016.05,45.8,Credit card usage as a proportion of total ECT value
203,2016.06,45.6,Credit card usage as a proportion of total ECT value
204,2016.07,45.9,Credit card usage as a proportion of total ECT value
205,2016.08,46.3,Credit card usage as a proportion of total ECT value
206,2016.09,47,Credit card usage as a proportion of total ECT value
207,2016.10,47.5,Credit card usage as a proportion of total ECT value
208,2016.11,48.6,Credit card usage as a proportion of total ECT value
209,2016.12,48.9,Credit card usage as a proportion of total ECT value
210,2017.01,51.6,Credit card usage as a proportion of total ECT value
211,2017.02,52,Credit card usage as a proportion of total ECT value
212,2017.03,51.9,Credit card usage as a proportion of total ECT value
213,2017.04,50.7,Credit card usage as a proportion of total ECT value
214,2017.05,50.6,Credit card usage as a proportion of total ECT value
215,2017.06,50.7,Credit card usage as a proportion of total ECT value
216,2017.07,51.1,Credit card usage as a proportion of total ECT value
217,2017.08,51.2,Credit card usage as a proportion of total ECT value
218,2017.09,51.5,Credit card usage as a proportion of total ECT value
219,2017.10,52.3,Credit card usage as a proportion of total ECT value
220,2017.11,53.3,Credit card usage as a proportion of total ECT value
221,2017.12,53.4,Credit card usage as a proportion of total ECT value
222,2018.01,54.7,Credit card usage as a proportion of total ECT value
223,2018.02,55.3,Credit card usage as a proportion of total ECT value
224,2018.03,54.7,Credit card usage as a proportion of total ECT value
225,2018.04,54,Credit card usage as a proportion of total ECT value
226,2018.05,53.5,Credit card usage as a proportion of total ECT value
227,2018.06,53.5,Credit card usage as a proportion of total ECT value
